"year","month","temperature"
1812,"January","NA"
1813,"January","-9.6"
1814,"January","-2.4"
1815,"January","-10.8"
1816,"January","-2.6"
1817,"January","-1.9"
1818,"January","-3.1"
1819,"January","-2.4"
1820,"January",-7
1821,"January","-2.1"
1822,"January","-2.6"
1823,"January","-12.1"
1824,"January","-3.5"
1825,"January","-3.3"
1826,"January","-8.9"
1827,"January",-2
1828,"January","-11.2"
1829,"January","-11.6"
1830,"January","-11.5"
1831,"January","-8.6"
1832,"January","-6.8"
1833,"January","-7.7"
1834,"January","-5.6"
1835,"January","-4.8"
1836,"January","-6.6"
1837,"January","-5.8"
1838,"January","-15.1"
1839,"January","-5.9"
1840,"January","-4.8"
1841,"January","-6.8"
1842,"January","-11.4"
1843,"January","-2.3"
1844,"January","-5.8"
1845,"January","-3.7"
1847,"January","-9.8"
1851,"January","NA"
1852,"January","-2.9"
1853,"January","-2.1"
1854,"January",-7
1855,"January","-8.7"
1856,"January","-1.7"
1857,"January","-3.6"
1858,"January","-7.4"
1859,"January","-3.8"
1860,"January","-3.3"
1861,"January","-14.6"
1862,"January","-12.1"
1863,"January","-2.9"
1864,"January","-7.9"
1865,"January","-3.5"
1866,"January","-1.9"
1867,"January","-2.2"
1868,"January","-7.5"
1869,"January","-8.8"
1870,"January","-4.1"
1871,"January",-10
1872,"January","-3.6"
1873,"January","-1.2"
1874,"January","-3.6"
1875,"January","-5.9"
1876,"January","-9.3"
1877,"January",-8
1878,"January","-7.5"
1879,"January","-8.4"
1880,"January","-9.2"
1881,"January","-9.9"
1882,"January","-1.4"
1883,"January","-10.2"
1884,"January","-3.5"
1885,"January","-6.3"
1886,"January",-4
1887,"January","-4.3"
1888,"January","-8.5"
1889,"January","-9.4"
1890,"January",-4
1891,"January",-9
1892,"January","-7.6"
1893,"January","-14.6"
1894,"January","-8.1"
1895,"January",-2
1896,"January","-10.7"
1897,"January","-6.9"
1898,"January","-2.9"
1899,"January","-0.3"
1900,"January","-5.1"
1901,"January","-6.2"
1902,"January","-0.4"
1903,"January","-4.6"
1904,"January","-6.8"
1905,"January","-7.4"
1906,"January","-3.7"
1907,"January","-7.7"
1908,"January","-4.7"
1909,"January","-8.9"
1910,"January","-3.4"
1911,"January","-6.3"
1912,"January","-8.8"
1913,"January","-5.1"
1914,"January",-5
1915,"January","-2.7"
1916,"January","-2.1"
1917,"January","-8.2"
1918,"January","-2.5"
1919,"January","-4.6"
1920,"January","-4.6"
1921,"January","-1.1"
1922,"January","-8.6"
1923,"January","-2.6"
1924,"January","-11.8"
1925,"January","-0.3"
1926,"January","-5.8"
1927,"January","-8.2"
1928,"January","-5.3"
1929,"January","-8.8"
1930,"January","-2.2"
1931,"January",-7
1932,"January","-2.5"
1933,"January","-9.2"
1934,"January","-6.4"
1935,"January","-9.9"
1936,"January","0.4"
1937,"January","-9.1"
1938,"January",-6
1939,"January","-2.8"
1940,"January","-11.2"
1941,"January","-9.9"
1942,"January",-15
1943,"January","-9.6"
1944,"January","-2.1"
1945,"January","-7.7"
1946,"January","-5.5"
1947,"January","-9.7"
1948,"January","-1.2"
1949,"January","-1.8"
1950,"January","-12.4"
1951,"January","-5.1"
1952,"January","-1.6"
1953,"January","-4.7"
1954,"January","-12.5"
1955,"January","-3.6"
1956,"January","-4.3"
1957,"January","-4.1"
1958,"January","-3.8"
1959,"January","-2.1"
1960,"January","-4.8"
1961,"January","-4.5"
1962,"January","-1.2"
1963,"January","-13.8"
1964,"January","-6.5"
1965,"January","-4.8"
1966,"January","-3.9"
1967,"January","-9.8"
1968,"January",-9
1969,"January","-9.8"
1970,"January","-5.5"
1971,"January",-3
1972,"January","-10.9"
1973,"January","-6.9"
1974,"January","-5.7"
1975,"January","0.4"
1976,"January","-5.8"
1977,"January","-6.4"
1978,"January","-5.8"
1979,"January","-5.4"
1980,"January","-7.2"
1981,"January","NA"
1982,"January","-3.1"
1983,"January","-0.5"
1984,"January","-2.4"
1985,"January","-9.5"
1986,"January","-2.7"
1987,"January","-13.7"
1988,"January","-4.8"
1989,"January","0.5"
1990,"January","-0.1"
1991,"January","-1.6"
1992,"January","-1.8"
1993,"January","-1.2"
1994,"January","0.1"
1995,"January","-3.9"
1996,"January","-9.8"
1997,"January","-5.7"
1998,"January",-1
1999,"January","-2.2"
2000,"January","-4.1"
2001,"January",-1
2002,"January","-2.6"
2003,"January","-3.8"
2004,"January","-4.3"
2005,"January","-0.6"
2006,"January","-7.5"
2007,"January","2.1"
2008,"January",-3
2009,"January","-3.3"
2010,"January","-8.8"
2011,"January","-2.4"
2012,"January",-4
2013,"January","-4.3"
2014,"January","-4.8"
1812,"February","-4.4"
1813,"February","-2.4"
1814,"February","-8.4"
1815,"February","-3.1"
1816,"February",-7
1817,"February","-0.4"
1818,"February","-0.8"
1819,"February","-4.4"
1820,"February","-5.5"
1821,"February","-4.5"
1822,"February","-1.7"
1823,"February",-5
1824,"February","-2.4"
1825,"February","-5.6"
1826,"February","-6.3"
1827,"February",-6
1828,"February","-10.3"
1829,"February","-7.6"
1830,"February","-7.7"
1831,"February","-4.9"
1832,"February",-5
1833,"February","-2.8"
1834,"February","-7.3"
1835,"February","-1.4"
1836,"February","-3.1"
1837,"February","-5.9"
1838,"February","-6.2"
1839,"February",-5
1840,"February","-5.9"
1841,"February","-12.2"
1842,"February","-5.2"
1843,"February","4.1"
1844,"February","-1.7"
1845,"February","-9.2"
1847,"February","-3.2"
1851,"February","NA"
1852,"February","-5.1"
1853,"February","-2.9"
1854,"February","-5.1"
1855,"February","-7.4"
1856,"February","-4.2"
1857,"February","-7.4"
1858,"February","-8.9"
1859,"February",-2
1860,"February","-4.2"
1861,"February","-5.1"
1862,"February","-11.9"
1863,"February","-1.9"
1864,"February",-4
1865,"February","-9.5"
1866,"February","-5.5"
1867,"February","-3.2"
1868,"February","-6.7"
1869,"February","0.5"
1870,"February","-11.9"
1871,"February","-10.6"
1872,"February","-11.1"
1873,"February","-5.7"
1874,"February","-4.8"
1875,"February","-7.6"
1876,"February","-3.9"
1877,"February","-5.2"
1878,"February","-3.6"
1879,"February","-1.9"
1880,"February","-8.4"
1881,"February","-6.2"
1882,"February","-2.5"
1883,"February","-7.7"
1884,"February","-1.6"
1885,"February","-3.4"
1886,"February","-8.6"
1887,"February","-6.2"
1888,"February","-9.7"
1889,"February","-3.9"
1890,"February","-6.8"
1891,"February","-6.4"
1892,"February","-2.3"
1893,"February","-5.2"
1894,"February","-2.6"
1895,"February","-7.5"
1896,"February","-5.1"
1897,"February","-3.9"
1898,"February","-4.9"
1899,"February","-3.3"
1900,"February","-3.2"
1901,"February","-6.4"
1902,"February","-3.2"
1903,"February","-0.2"
1904,"February","-1.3"
1905,"February","-3.5"
1906,"February","-4.7"
1907,"February","-8.1"
1908,"February","-2.6"
1909,"February",-9
1910,"February",-1
1911,"February","-10.8"
1912,"February","-6.1"
1913,"February","-4.1"
1914,"February","0.7"
1915,"February","-3.3"
1916,"February","-2.5"
1917,"February",-11
1918,"February","-2.8"
1919,"February","-5.3"
1920,"February","-5.3"
1921,"February","-6.5"
1922,"February","-5.4"
1923,"February","-8.4"
1924,"February","-7.4"
1925,"February","1.5"
1926,"February","-4.8"
1927,"February","-6.4"
1928,"February","-7.9"
1929,"February","-15.9"
1930,"February","-3.9"
1931,"February","-9.9"
1932,"February","-10.3"
1933,"February","-5.2"
1934,"February","-3.3"
1935,"February","-3.5"
1936,"February","-5.4"
1937,"February","-4.3"
1938,"February","-3.4"
1939,"February",-1
1940,"February","-9.5"
1941,"February","-3.3"
1942,"February","-8.9"
1943,"February","-3.3"
1944,"February","-2.1"
1945,"February","-6.1"
1946,"February","-3.9"
1947,"February","-8.2"
1948,"February","-5.4"
1949,"February","-2.9"
1950,"February","-1.2"
1951,"February","-6.6"
1952,"February","-3.1"
1953,"February","-7.4"
1954,"February",-13
1955,"February","-3.1"
1956,"February","-13.1"
1957,"February","0.6"
1958,"February",-1
1959,"February","-2.6"
1960,"February",-5
1961,"February","-1.3"
1962,"February","-3.8"
1963,"February","-5.6"
1964,"February","-7.4"
1965,"February","-7.2"
1966,"February","-1.8"
1967,"February","-6.3"
1968,"February","-4.4"
1969,"February",-7
1970,"February","-4.9"
1971,"February","-3.6"
1972,"February","-4.4"
1973,"February","-0.2"
1974,"February","-0.1"
1975,"February",-2
1976,"February","-8.7"
1977,"February",-1
1978,"February","-5.2"
1979,"February","-6.3"
1980,"February","-4.4"
1981,"February","-2.2"
1982,"February","-4.9"
1983,"February","-2.6"
1984,"February","-5.9"
1985,"February","-12.5"
1986,"February","-9.2"
1987,"February","-3.9"
1988,"February","-3.4"
1989,"February","2.5"
1990,"February","2.7"
1991,"February","-5.8"
1992,"February","-1.7"
1993,"February","-2.4"
1994,"February","-5.8"
1995,"February","2.2"
1996,"February","-7.1"
1997,"February","-1.1"
1998,"February","0.4"
1999,"February","-1.5"
2000,"February",0
2001,"February","-2.5"
2002,"February","3.7"
2003,"February","-6.4"
2004,"February","-2.6"
2005,"February","-5.1"
2006,"February","-6.1"
2007,"February","-4.2"
2008,"February","0.6"
2009,"February","-1.7"
2010,"February","-3.2"
2011,"February","-6.1"
2012,"February",-10
2013,"February","-0.6"
2014,"February","-0.5"
1812,"March","-0.4"
1813,"March","-0.3"
1814,"March","0.7"
1815,"March","-1.7"
1816,"March",3
1817,"March","2.7"
1818,"March",4
1819,"March","1.6"
1820,"March","-2.1"
1821,"March","-3.3"
1822,"March","3.8"
1823,"March","2.1"
1824,"March","3.4"
1825,"March",-5
1826,"March","-0.8"
1827,"March","1.5"
1828,"March","0.4"
1829,"March","-2.6"
1830,"March","-2.3"
1831,"March","-2.3"
1832,"March","-3.7"
1833,"March","-0.8"
1834,"March","0.3"
1835,"March","0.7"
1836,"March","5.2"
1837,"March","-0.7"
1838,"March","-0.4"
1839,"March","-5.6"
1840,"March",-2
1841,"March","-1.8"
1842,"March","-0.3"
1843,"March","-0.2"
1844,"March","-1.3"
1845,"March","-4.4"
1847,"March","-0.2"
1851,"March","-1.3"
1852,"March","-1.3"
1853,"March","-0.3"
1854,"March","-2.7"
1855,"March","0.9"
1856,"March","-4.1"
1857,"March","0.5"
1858,"March",-2
1859,"March",0
1860,"March","-4.8"
1861,"March","0.7"
1862,"March","1.2"
1863,"March","1.9"
1864,"March",3
1865,"March","-3.5"
1866,"March","3.6"
1867,"March","-5.7"
1868,"March","-1.5"
1869,"March","2.4"
1870,"March","-2.3"
1871,"March","-2.1"
1872,"March","0.9"
1873,"March","1.2"
1874,"March","-2.3"
1875,"March","-7.3"
1876,"March","3.9"
1877,"March",-1
1878,"March","-0.6"
1879,"March","-1.8"
1880,"March","-3.3"
1881,"March","-2.2"
1882,"March","4.4"
1883,"March","-3.8"
1884,"March","-2.6"
1885,"March",0
1886,"March","-3.9"
1887,"March","-0.9"
1888,"March","-2.1"
1889,"March","-4.8"
1890,"March","1.6"
1891,"March","1.1"
1892,"March","-1.3"
1893,"March","-0.1"
1894,"March","1.4"
1895,"March","-1.7"
1896,"March","-0.8"
1897,"March","1.1"
1898,"March","-4.4"
1899,"March","-0.3"
1900,"March","-2.8"
1901,"March","0.5"
1902,"March","0.3"
1903,"March","3.8"
1904,"March","-2.4"
1905,"March","-1.5"
1906,"March","1.9"
1907,"March","-2.5"
1908,"March","-1.7"
1909,"March","-1.6"
1910,"March","1.4"
1911,"March","-0.9"
1912,"March","2.2"
1913,"March","4.2"
1914,"March","3.9"
1915,"March",-3
1916,"March","0.9"
1917,"March","-3.7"
1918,"March","0.3"
1919,"March","-0.6"
1920,"March","2.9"
1921,"March","4.8"
1922,"March","1.4"
1923,"March",1
1924,"March","-3.5"
1925,"March","1.9"
1926,"March","-1.9"
1927,"March","1.7"
1928,"March","-5.3"
1929,"March","-4.6"
1930,"March","2.3"
1931,"March","-2.8"
1932,"March","-4.8"
1933,"March","-1.2"
1934,"March","3.4"
1935,"March","-1.1"
1936,"March","2.9"
1937,"March","2.1"
1938,"March","3.4"
1939,"March","-0.5"
1940,"March","-3.5"
1941,"March","-1.6"
1942,"March","-6.9"
1943,"March","0.7"
1944,"March","0.3"
1945,"March","-0.4"
1946,"March","0.2"
1947,"March","0.3"
1948,"March",-1
1949,"March","-0.3"
1950,"March","1.1"
1951,"March","0.7"
1952,"March","-6.4"
1953,"March","0.5"
1954,"March","0.9"
1955,"March","-0.8"
1956,"March","-2.8"
1957,"March","-0.3"
1958,"March","-0.6"
1959,"March","1.8"
1960,"March","-2.2"
1961,"March","3.4"
1962,"March","-1.6"
1963,"March","-3.9"
1964,"March","-4.2"
1965,"March","-0.2"
1966,"March","3.3"
1967,"March","1.6"
1968,"March",1
1969,"March","-3.5"
1970,"March","0.5"
1971,"March","-1.7"
1972,"March","1.5"
1973,"March","1.6"
1974,"March","2.7"
1975,"March","3.7"
1976,"March",0
1977,"March","2.8"
1978,"March","2.3"
1979,"March","2.2"
1980,"March","-3.6"
1981,"March",2
1982,"March",2
1983,"March","3.2"
1984,"March","0.4"
1985,"March","-3.3"
1986,"March","0.2"
1987,"March","-5.7"
1988,"March","1.3"
1989,"March","5.2"
1990,"March","6.9"
1991,"March","0.5"
1992,"March","3.7"
1993,"March","0.9"
1994,"March","1.4"
1995,"March","3.5"
1996,"March",-3
1997,"March","2.1"
1998,"March","1.3"
1999,"March","3.2"
2000,"March","1.7"
2001,"March","2.7"
2002,"March","5.5"
2003,"March","0.1"
2004,"March","3.9"
2005,"March","-1.6"
2006,"March",0
2007,"March","6.3"
2008,"March","4.6"
2009,"March","2.3"
2010,"March","1.4"
2011,"March","1.5"
2012,"March","2.5"
2013,"March","-1.7"
2014,"March","6.8"
1812,"April","4.9"
1813,"April","9.1"
1814,"April","8.6"
1815,"April","6.7"
1816,"April","7.2"
1817,"April","4.8"
1818,"April","9.8"
1819,"April","9.5"
1820,"April","8.7"
1821,"April","10.1"
1822,"April","10.3"
1823,"April","5.1"
1824,"April","6.7"
1825,"April","3.4"
1826,"April","4.2"
1827,"April","6.9"
1828,"April",6
1829,"April","7.2"
1830,"April","6.6"
1831,"April","7.1"
1832,"April","3.8"
1833,"April","5.7"
1834,"April","4.6"
1835,"April","6.1"
1836,"April","9.3"
1837,"April","9.2"
1838,"April","7.2"
1839,"April",4
1840,"April",4
1841,"April","6.9"
1842,"April",4
1843,"April","7.4"
1844,"April","5.1"
1845,"April","5.1"
1847,"April","8.8"
1851,"April","9.2"
1852,"April","2.8"
1853,"April","6.7"
1854,"April",6
1855,"April",9
1856,"April","7.8"
1857,"April","10.2"
1858,"April","5.3"
1859,"April","8.4"
1860,"April","7.4"
1861,"April","3.8"
1862,"April","7.3"
1863,"April","4.6"
1864,"April","6.6"
1865,"April","5.4"
1866,"April","8.4"
1867,"April","6.4"
1868,"April","6.4"
1869,"April","7.8"
1870,"April","6.4"
1871,"April","6.2"
1872,"April",11
1873,"April","6.2"
1874,"April","6.6"
1875,"April",3
1876,"April","12.1"
1877,"April","5.6"
1878,"April","8.8"
1879,"April","8.2"
1880,"April",8
1881,"April","4.4"
1882,"April","7.6"
1883,"April","4.6"
1884,"April","4.1"
1885,"April",9
1886,"April","8.2"
1887,"April","6.3"
1888,"April","8.5"
1889,"April","7.4"
1890,"April","10.6"
1891,"April","5.7"
1892,"April","8.2"
1893,"April","2.9"
1894,"April","7.8"
1895,"April","5.7"
1896,"April","4.2"
1897,"April","9.6"
1898,"April","5.2"
1899,"April","8.5"
1900,"April","5.7"
1901,"April","6.9"
1902,"April","5.2"
1903,"April","8.3"
1904,"April","6.6"
1905,"April","5.7"
1906,"April","9.9"
1907,"April","4.8"
1908,"April","5.4"
1909,"April","4.9"
1910,"April","8.3"
1911,"April","8.2"
1912,"April","5.4"
1913,"April","10.4"
1914,"April","8.2"
1915,"April","7.9"
1916,"April","8.7"
1917,"April",8
1918,"April","10.6"
1919,"April","9.4"
1920,"April","12.5"
1921,"April","10.6"
1922,"April","6.6"
1923,"April","5.5"
1924,"April","5.3"
1925,"April",9
1926,"April","8.6"
1927,"April","7.3"
1928,"April","6.1"
1929,"April",2
1930,"April",9
1931,"April","4.4"
1932,"April","6.7"
1933,"April","3.7"
1934,"April","10.7"
1935,"April","7.8"
1936,"April","7.5"
1937,"April","7.9"
1938,"April","6.8"
1939,"April","9.1"
1940,"April","5.6"
1941,"April","7.3"
1942,"April","4.3"
1943,"April","9.6"
1944,"April","5.1"
1945,"April","6.9"
1946,"April","9.6"
1947,"April","9.3"
1948,"April","10.2"
1949,"April","7.5"
1950,"April","12.9"
1951,"April","10.7"
1952,"April","9.3"
1953,"April","7.9"
1954,"April","5.3"
1955,"April",5
1956,"April",7
1957,"April","9.3"
1958,"April","5.8"
1959,"April",8
1960,"April","7.4"
1961,"April","9.6"
1962,"April","10.3"
1963,"April","6.4"
1964,"April","8.4"
1965,"April","5.2"
1966,"April","11.5"
1967,"April","9.6"
1968,"April","10.4"
1969,"April","7.4"
1970,"April","9.4"
1971,"April","7.4"
1972,"April","10.9"
1973,"April","10.6"
1974,"April","6.9"
1975,"April","11.2"
1976,"April","10.2"
1977,"April","8.3"
1978,"April","8.7"
1979,"April","6.5"
1980,"April",7
1981,"April","5.4"
1982,"April",7
1983,"April","10.9"
1984,"April","9.8"
1985,"April","9.4"
1986,"April","10.7"
1987,"April",5
1988,"April","8.1"
1989,"April","10.1"
1990,"April","9.4"
1991,"April","NA"
1992,"April",7
1993,"April",8
1994,"April","10.9"
1995,"April","8.8"
1996,"April","9.2"
1997,"April","6.1"
1998,"April","10.3"
1999,"April","11.7"
2000,"April","12.7"
2001,"April","11.2"
2002,"April","9.9"
2003,"April","6.9"
2004,"April","9.1"
2005,"April","10.3"
2006,"April","9.7"
2007,"April",9
2008,"April","10.7"
2009,"April","11.1"
2010,"April","10.3"
2011,"April","10.2"
2012,"April","11.8"
2013,"April","10.3"
2014,"April","10.3"
1812,"May","12.7"
1813,"May","14.4"
1814,"May","11.9"
1815,"May","14.6"
1816,"May","13.6"
1817,"May","13.6"
1818,"May","12.2"
1819,"May","13.3"
1820,"May","14.3"
1821,"May","16.5"
1822,"May","14.1"
1823,"May","12.4"
1824,"May","11.4"
1825,"May","11.3"
1826,"May","11.9"
1827,"May","13.4"
1828,"May","11.9"
1829,"May","10.5"
1830,"May","13.7"
1831,"May","12.4"
1832,"May","12.4"
1833,"May","12.8"
1834,"May","15.9"
1835,"May","12.8"
1836,"May","10.5"
1837,"May","13.8"
1838,"May","13.9"
1839,"May",15
1840,"May","11.4"
1841,"May",16
1842,"May","13.9"
1843,"May","9.9"
1844,"May","15.4"
1845,"May","12.5"
1847,"May",14
1851,"May","15.9"
1852,"May","12.6"
1853,"May","15.3"
1854,"May","17.3"
1855,"May","17.6"
1856,"May","15.7"
1857,"May","14.1"
1858,"May","15.2"
1859,"May","14.8"
1860,"May","14.4"
1861,"May","11.4"
1862,"May","14.8"
1863,"May","15.9"
1864,"May",9
1865,"May","15.2"
1866,"May","12.7"
1867,"May","12.6"
1868,"May",14
1869,"May","17.1"
1870,"May","13.8"
1871,"May","10.7"
1872,"May","20.4"
1873,"May","12.8"
1874,"May",11
1875,"May","13.5"
1876,"May","10.2"
1877,"May","14.3"
1878,"May","13.1"
1879,"May","15.2"
1880,"May","13.3"
1881,"May","14.1"
1882,"May","15.3"
1883,"May","14.6"
1884,"May","13.9"
1885,"May",13
1886,"May","15.2"
1887,"May","16.2"
1888,"May","13.9"
1889,"May","17.4"
1890,"May","16.6"
1891,"May","16.3"
1892,"May","15.9"
1893,"May","12.5"
1894,"May","13.5"
1895,"May","13.6"
1896,"May","13.3"
1897,"May","17.4"
1898,"May","16.4"
1899,"May","14.3"
1900,"May","14.2"
1901,"May","14.6"
1902,"May","12.4"
1903,"May","14.5"
1904,"May","11.9"
1905,"May","15.4"
1906,"May","17.9"
1907,"May","16.8"
1908,"May","14.2"
1909,"May","12.3"
1910,"May","16.2"
1911,"May","16.1"
1912,"May","11.5"
1913,"May","12.2"
1914,"May","15.7"
1915,"May","13.8"
1916,"May","12.2"
1917,"May","12.4"
1918,"May","11.6"
1919,"May","10.4"
1920,"May","16.9"
1921,"May","16.6"
1922,"May","14.5"
1923,"May","16.7"
1924,"May","17.7"
1925,"May","16.8"
1926,"May",15
1927,"May","12.7"
1928,"May",13
1929,"May","16.7"
1930,"May","14.5"
1931,"May","16.9"
1932,"May","16.5"
1933,"May","12.9"
1934,"May","16.6"
1935,"May","12.5"
1936,"May","16.4"
1937,"May","17.4"
1938,"May",14
1939,"May","15.2"
1940,"May","14.3"
1941,"May","11.4"
1942,"May","13.2"
1943,"May","12.6"
1944,"May","13.5"
1945,"May","12.8"
1946,"May","16.5"
1947,"May","15.3"
1948,"May","16.7"
1949,"May","17.5"
1950,"May","15.8"
1951,"May","13.9"
1952,"May","12.7"
1953,"May","13.7"
1954,"May","15.4"
1955,"May","13.4"
1956,"May","13.4"
1957,"May","14.6"
1958,"May","17.6"
1959,"May","13.3"
1960,"May","14.4"
1961,"May","13.2"
1962,"May","14.8"
1963,"May","18.2"
1964,"May",13
1965,"May","12.7"
1966,"May","16.4"
1967,"May","17.5"
1968,"May","15.1"
1969,"May","14.8"
1970,"May",15
1971,"May","16.1"
1972,"May",16
1973,"May","14.4"
1974,"May","12.6"
1975,"May",19
1976,"May","12.6"
1977,"May","15.2"
1978,"May","12.6"
1979,"May","17.6"
1980,"May","11.3"
1981,"May","16.1"
1982,"May","15.1"
1983,"May","17.9"
1984,"May","16.7"
1985,"May",17
1986,"May","16.7"
1987,"May","14.2"
1988,"May","15.2"
1989,"May","15.2"
1990,"May","14.6"
1991,"May","12.8"
1992,"May","13.6"
1993,"May","16.5"
1994,"May","13.1"
1995,"May",14
1996,"May","18.6"
1997,"May","16.1"
1998,"May","15.2"
1999,"May","12.8"
2000,"May","15.4"
2001,"May","14.2"
2002,"May","16.5"
2003,"May","19.4"
2004,"May","13.2"
2005,"May","16.4"
2006,"May","14.4"
2007,"May","18.4"
2008,"May","14.3"
2009,"May","15.1"
2010,"May","17.3"
2011,"May","16.7"
2012,"May","18.1"
2013,"May","18.9"
2014,"May","16.9"
1812,"June","18.2"
1813,"June","16.2"
1814,"June","17.3"
1815,"June",18
1816,"June","19.7"
1817,"June","18.8"
1818,"June","15.4"
1819,"June",20
1820,"June","16.5"
1821,"June",16
1822,"June","15.4"
1823,"June","18.3"
1824,"June","14.7"
1825,"June","15.8"
1826,"June","15.8"
1827,"June","18.7"
1828,"June","18.3"
1829,"June","14.8"
1830,"June","18.2"
1831,"June","15.7"
1832,"June","13.5"
1833,"June","19.6"
1834,"June","17.3"
1835,"June","17.2"
1836,"June","15.6"
1837,"June","14.9"
1838,"June","16.3"
1839,"June","18.7"
1840,"June",16
1841,"June","19.6"
1842,"June","17.1"
1843,"June","18.2"
1844,"June","15.9"
1845,"June","17.7"
1847,"June","18.2"
1851,"June","17.2"
1852,"June","19.6"
1853,"June","19.2"
1854,"June","15.8"
1855,"June","21.9"
1856,"June","19.7"
1857,"June","18.7"
1858,"June","17.6"
1859,"June",17
1860,"June",19
1861,"June","18.3"
1862,"June","19.4"
1863,"June","16.8"
1864,"June","19.6"
1865,"June","13.7"
1866,"June","19.5"
1867,"June","16.7"
1868,"June","18.7"
1869,"June","17.4"
1870,"June","16.1"
1871,"June","18.6"
1872,"June","18.2"
1873,"June","18.8"
1874,"June","17.5"
1875,"June","21.6"
1876,"June","19.6"
1877,"June","17.9"
1878,"June","18.6"
1879,"June","19.7"
1880,"June","17.7"
1881,"June","16.9"
1882,"June","16.1"
1883,"June","19.3"
1884,"June","18.2"
1885,"June",19
1886,"June","17.3"
1887,"June","13.9"
1888,"June","16.6"
1889,"June","17.9"
1890,"June","16.1"
1891,"June","17.5"
1892,"June","20.7"
1893,"June","16.5"
1894,"June","14.4"
1895,"June",17
1896,"June","18.7"
1897,"June","18.5"
1898,"June",16
1899,"June","14.9"
1900,"June","16.4"
1901,"June","21.6"
1902,"June","18.1"
1903,"June",19
1904,"June",16
1905,"June","19.4"
1906,"June","19.1"
1907,"June","17.2"
1908,"June","17.2"
1909,"June","17.8"
1910,"June","19.9"
1911,"June",15
1912,"June","18.2"
1913,"June","15.4"
1914,"June",18
1915,"June","18.1"
1916,"June","16.8"
1917,"June","19.8"
1918,"June","16.7"
1919,"June","16.1"
1920,"June","15.6"
1921,"June","17.9"
1922,"June","17.5"
1923,"June","16.1"
1924,"June","21.3"
1925,"June","14.9"
1926,"June","17.5"
1927,"June","19.7"
1928,"June","14.3"
1929,"June","15.4"
1930,"June",17
1931,"June","17.9"
1932,"June","17.7"
1933,"June","14.8"
1934,"June","17.5"
1935,"June","19.2"
1936,"June",19
1937,"June","19.5"
1938,"June","18.6"
1939,"June","19.5"
1940,"June",19
1941,"June",16
1942,"June","15.3"
1943,"June","17.9"
1944,"June","17.5"
1945,"June","17.1"
1946,"June","21.2"
1947,"June","19.9"
1948,"June","19.9"
1949,"June","16.5"
1950,"June","17.5"
1951,"June","19.3"
1952,"June","17.4"
1953,"June","20.9"
1954,"June","21.8"
1955,"June","16.9"
1956,"June","20.9"
1957,"June","18.9"
1958,"June","16.7"
1959,"June",19
1960,"June","19.3"
1961,"June","20.3"
1962,"June","16.8"
1963,"June","17.4"
1964,"June","22.3"
1965,"June","17.6"
1966,"June","16.9"
1967,"June","18.2"
1968,"June","20.1"
1969,"June","17.3"
1970,"June","17.2"
1971,"June","18.1"
1972,"June","19.7"
1973,"June","17.9"
1974,"June",17
1975,"June","20.7"
1976,"June","16.2"
1977,"June","17.2"
1978,"June","16.6"
1979,"June","21.5"
1980,"June","17.1"
1981,"June","21.1"
1982,"June","16.9"
1983,"June","18.2"
1984,"June","15.7"
1985,"June","16.7"
1986,"June","19.3"
1987,"June","18.2"
1988,"June","18.3"
1989,"June","19.4"
1990,"June","16.9"
1991,"June","18.5"
1992,"June","18.7"
1993,"June","16.7"
1994,"June","16.3"
1995,"June","20.1"
1996,"June","18.8"
1997,"June","18.3"
1998,"June","19.8"
1999,"June","22.6"
2000,"June","17.9"
2001,"June","16.7"
2002,"June","18.4"
2003,"June",18
2004,"June","17.7"
2005,"June","17.3"
2006,"June","18.4"
2007,"June","20.4"
2008,"June","18.8"
2009,"June","20.4"
2010,"June",22
2011,"June","21.1"
2012,"June",20
2013,"June","21.6"
2014,"June","18.2"
1812,"July","21.2"
1813,"July","18.8"
1814,"July","21.6"
1815,"July","17.6"
1816,"July","18.5"
1817,"July","20.6"
1818,"July","19.4"
1819,"July","19.7"
1820,"July","17.1"
1821,"July",19
1822,"July",21
1823,"July","18.8"
1824,"July","16.7"
1825,"July","15.3"
1826,"July","20.9"
1827,"July","18.9"
1828,"July","18.9"
1829,"July","19.7"
1830,"July","15.7"
1831,"July","17.2"
1832,"July","14.9"
1833,"July","17.6"
1834,"July",21
1835,"July","17.4"
1836,"July","17.3"
1837,"July","15.9"
1838,"July","18.4"
1839,"July","19.9"
1840,"July","20.6"
1841,"July","22.2"
1842,"July","18.3"
1843,"July","17.3"
1844,"July","17.9"
1845,"July","21.9"
1847,"July","18.6"
1851,"July","20.9"
1852,"July",17
1853,"July","20.2"
1854,"July","19.9"
1855,"July","21.6"
1856,"July","18.8"
1857,"July","17.9"
1858,"July","22.4"
1859,"July","20.3"
1860,"July","19.7"
1861,"July","20.3"
1862,"July","20.1"
1863,"July","17.8"
1864,"July","17.4"
1865,"July","21.5"
1866,"July","19.2"
